recording_id,subject_id,psg_file,hypnogram_file,channel,mne_channel_type,sampling_frequency_hz,duration_hours,annotation_count,annotation_labels,unit
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,EEG Fpz-Cz,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,EEG Pz-Oz,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,EOG horizontal,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,Resp oro-nasal,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,EMG submental,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,Temp rectal,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4001E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4001EC-Hypnogram.edf,Event marker,eeg,100.0,22.083333333333332,154,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,EEG Fpz-Cz,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,EEG Pz-Oz,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,EOG horizontal,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,Resp oro-nasal,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,EMG submental,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,Temp rectal,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4002E0,SC400,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4002EC-Hypnogram.edf,Event marker,eeg,100.0,23.583333333333332,152,Movement time; Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,EEG Fpz-Cz,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,EEG Pz-Oz,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,EOG horizontal,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,Resp oro-nasal,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,EMG submental,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,Temp rectal,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4011E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4011EH-Hypnogram.edf,Event marker,eeg,100.0,23.35,126,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
SC4012E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012EC-Hypnogram.edf,EEG Fpz-Cz,eeg,100.0,23.75,171,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4012E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012EC-Hypnogram.edf,EEG Pz-Oz,eeg,100.0,23.75,171,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4012E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012EC-Hypnogram.edf,EOG horizontal,eeg,100.0,23.75,171,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,µV
SC4012E0,SC401,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012E0-PSG.edf,<DATA_ROOT>/PhysioNet/sleep-cassette/SC4012EC-Hypnogram.edf,Resp oro-nasal,eeg,100.0,23.75,171,Sleep stage 1; Sleep stage 2; Sleep stage 3; Sleep stage 4; Sleep stage ?; Sleep stage R; Sleep stage W,n/a
