recording_id,epoch_index,label,raw_label,eeg_fpz_cz_delta_relative_power,eeg_fpz_cz_theta_relative_power,eeg_fpz_cz_alpha_relative_power,eeg_fpz_cz_sigma_relative_power,eeg_fpz_cz_beta_relative_power
SC4001E0,0,Wake,Sleep stage W,0.8346795852784966,0.12036616391483511,0.010447049740859,0.003875508973190389,0.010439256743216866
SC4001E0,1,Wake,Sleep stage W,0.8032560750475731,0.08981056690675786,0.022998064401414393,0.01575576807191717,0.04941802952459823
SC4001E0,2,Wake,Sleep stage W,0.8966977212803405,0.039240167038958114,0.021782176903654676,0.0080857734656356,0.02320717773618423
SC4001E0,3,Wake,Sleep stage W,0.8070248558691644,0.08188859281182574,0.0560762019393804,0.009379646091721233,0.024732727154140634
SC4001E0,4,Wake,Sleep stage W,0.7479588887975549,0.14605260419461724,0.046051017433090535,0.00783753814892911,0.02033355636438668
SC4001E0,5,Wake,Sleep stage W,0.7209119105641179,0.2124175447563711,0.015331129995255316,0.005466029138309721,0.011309169444258959
SC4001E0,6,Wake,Sleep stage W,0.7938341309245857,0.10126995567001379,0.016743241612393316,0.013689247914015492,0.04754600916359047
SC4001E0,7,Wake,Sleep stage W,0.8941558948336525,0.06960402688144314,0.0074634844597394655,0.0030979755419880853,0.009459615264062918
SC4001E0,8,Wake,Sleep stage W,0.7387067193231661,0.17173357405592626,0.020795205014731914,0.007673876341676418,0.020121384511120464
SC4001E0,9,Wake,Sleep stage W,0.8497949219065855,0.0780163791775416,0.014566138518565456,0.008847588866310298,0.03255102832694833
SC4001E0,10,Wake,Sleep stage W,0.9001535554942043,0.057237442625448554,0.012070475562723247,0.0049499770753562815,0.013591185179132182
SC4001E0,11,Wake,Sleep stage W,0.8817371614961039,0.06784251555570438,0.01093195721371818,0.0056688968186010035,0.017203265237557847
SC4001E0,12,Wake,Sleep stage W,0.855052126037104,0.09233886879170548,0.01276825455526685,0.005326756208157144,0.014463834975668177
SC4001E0,13,Wake,Sleep stage W,0.8192037368178602,0.11390147827251021,0.01500099637701622,0.009446808621977195,0.0201902543094153
SC4001E0,14,Wake,Sleep stage W,0.8563565796296612,0.08043525202367358,0.012538411781279948,0.008496346291500435,0.02224355646481062
SC4001E0,15,Wake,Sleep stage W,0.8393362334578254,0.08608185399715183,0.021384031223358253,0.00971597053677259,0.02841760212390757
SC4001E0,16,Wake,Sleep stage W,0.7874357455524503,0.11305045907065037,0.023560773058143695,0.015294179049208574,0.03481984489575762
SC4001E0,17,Wake,Sleep stage W,0.8388690579611711,0.0898301150628659,0.018445597124129548,0.00831348451691759,0.02252159793696238
SC4001E0,18,Wake,Sleep stage W,0.8525328984729785,0.08623154721836328,0.01602145268028856,0.008232657200851257,0.017794085080457975
SC4001E0,19,Wake,Sleep stage W,0.7808174359548312,0.10097134054673647,0.02415583377627672,0.015378562659912633,0.06034529414506778
SC4001E0,20,Wake,Sleep stage W,0.8760375620419469,0.057808822765401724,0.015564552255269965,0.008603982973189785,0.026817265156461795
SC4001E0,21,Wake,Sleep stage W,0.7751939904529466,0.11830357728114395,0.029272003971691274,0.015385518453590446,0.03686212015969885
SC4001E0,22,Wake,Sleep stage W,0.763448565784981,0.08548690000084627,0.03657029213705709,0.02188059638329332,0.06985509673934297
SC4001E0,23,Wake,Sleep stage W,0.7229125422934229,0.1177788295128583,0.04027341380221843,0.023028024023815208,0.0761845710468176
SC4001E0,24,Wake,Sleep stage W,0.8256569623239282,0.10295400634567346,0.016745164511221048,0.010808260482373832,0.026062071313018555
SC4001E0,25,Wake,Sleep stage W,0.8899880703816696,0.05518274557110157,0.013986236220595215,0.00605450628205965,0.01899079748342332
SC4001E0,26,Wake,Sleep stage W,0.8532663546039289,0.07017977694680357,0.01722789636781615,0.0109416562201653,0.03048800828564375
SC4001E0,27,Wake,Sleep stage W,0.7618523308168849,0.1070646457290146,0.03008425963660733,0.017930895769753024,0.06055744160691464
SC4001E0,28,Wake,Sleep stage W,0.8254550873847755,0.08636458896379802,0.025516357899713977,0.01171941177660066,0.032662031568406226
SC4001E0,29,Wake,Sleep stage W,0.8601717290978025,0.07705645245713977,0.014567187470071312,0.009106629822794605,0.021590593942758182
SC4001E0,30,Wake,Sleep stage W,0.8387116498980967,0.08252273165413909,0.019582766411789156,0.013917950391431401,0.03305196465141077
SC4001E0,31,Wake,Sleep stage W,0.6605663804443819,0.1778979297385383,0.043163708866978664,0.021729975912727642,0.07213967728000141
SC4001E0,32,Wake,Sleep stage W,0.8360612193021968,0.07794002474946587,0.019260933961213172,0.011776350840749435,0.03396476794810725
SC4001E0,33,Wake,Sleep stage W,0.774685745333463,0.10476772313883483,0.029106318775622413,0.017514391579386213,0.04988820341791161
SC4001E0,34,Wake,Sleep stage W,0.8002183487893036,0.10723404314444077,0.027261075878936964,0.011632158977523328,0.03385272911730345
SC4001E0,35,Wake,Sleep stage W,0.8768492657599067,0.07345126888675006,0.01409788139000821,0.006826341095064311,0.01758170446692233
SC4001E0,36,Wake,Sleep stage W,0.8517617974179819,0.06568800490069124,0.01802232467429115,0.010110638124953676,0.03852995391774591
SC4001E0,37,Wake,Sleep stage W,0.8199033190507813,0.09254559893773848,0.02468218620019261,0.012530978380810433,0.029500850261814607
SC4001E0,38,Wake,Sleep stage W,0.688112362559164,0.1500458714048552,0.033897912280975086,0.02222836331428399,0.07976737824555423
SC4001E0,39,Wake,Sleep stage W,0.8188249536209191,0.09363302993456926,0.021253555658985457,0.011221666009847099,0.04184303423664494
SC4001E0,40,Wake,Sleep stage W,0.8797240934881377,0.061703637261295165,0.016604480742254343,0.00768970205242718,0.0201684641682228
SC4001E0,41,Wake,Sleep stage W,0.8817499582530015,0.06350613551218744,0.01480475580646198,0.006227377842043903,0.020017042750871843
SC4001E0,42,Wake,Sleep stage W,0.8876462960453715,0.061260314829559015,0.011866007207753845,0.0072133326910160936,0.020145733394989766
SC4001E0,43,Wake,Sleep stage W,0.8276954253887298,0.08724306497525097,0.020179160117266153,0.011435467423308088,0.03706983020269892
SC4001E0,44,Wake,Sleep stage W,0.8495430141633995,0.06706880221720667,0.023311896553592736,0.010925755657197956,0.034223223126001116
SC4001E0,45,Wake,Sleep stage W,0.7633513525285739,0.1235305723973329,0.028252185109859777,0.0161677799451544,0.051827731110558266
SC4001E0,46,Wake,Sleep stage W,0.7560146932568073,0.10817064245815765,0.03884670599873814,0.020149395619373622,0.05763247274994004
SC4001E0,47,Wake,Sleep stage W,0.7917450412375086,0.0919362040916305,0.023657136918259148,0.013258811448820244,0.05160659141270311
SC4001E0,48,Wake,Sleep stage W,0.8772856370015987,0.05822959907792704,0.01641538264791527,0.009154724355841184,0.02278997760828728
SC4001E0,49,Wake,Sleep stage W,0.8677434001019952,0.06993105364207469,0.01592680026369221,0.009224017074992161,0.021391698640838307
SC4001E0,50,Wake,Sleep stage W,0.7968031702148918,0.10857185687949829,0.023136973801007675,0.012851726494573277,0.04053447158835243
